Local Time,Real Energy Into the Load
2025-Aug-04 06:15:00.000,3859475
2025-Aug-04 06:30:00.000,3859485
2025-Aug-04 06:45:00.000,3859494
2025-Aug-04 07:00:00.000,3859504
2025-Aug-04 07:15:00.000,3859514
2025-Aug-04 07:30:00.000,3859523
2025-Aug-04 07:45:00.000,3859532
2025-Aug-04 08:00:00.000,3859542
2025-Aug-04 08:15:00.000,3859551
2025-Aug-04 08:30:00.000,3859569
2025-Aug-04 08:45:00.000,3859585
2025-Aug-04 09:00:00.000,3859601
2025-Aug-04 09:15:00.000,3859618
2025-Aug-04 09:30:00.000,3859635
2025-Aug-04 09:45:00.000,3859656
2025-Aug-04 10:00:00.000,3859676
2025-Aug-04 10:15:00.000,3859695
2025-Aug-04 10:30:00.000,3859716
2025-Aug-04 10:45:00.000,3859737
2025-Aug-04 11:00:00.000,3859757
2025-Aug-04 11:15:00.000,3859777
2025-Aug-04 11:30:00.000,3859796
2025-Aug-04 11:45:00.000,3859816
2025-Aug-04 12:00:00.000,3859837
2025-Aug-04 12:15:00.000,3859857
2025-Aug-04 12:30:00.000,3859878
2025-Aug-04 12:45:00.000,3859899
2025-Aug-04 13:00:00.000,3859919
2025-Aug-04 13:15:00.000,3859940
2025-Aug-04 13:30:00.000,3859962
2025-Aug-04 13:45:00.000,3859982
2025-Aug-04 14:00:00.000,3860005
2025-Aug-04 14:15:00.000,3860034
2025-Aug-04 14:30:00.000,3860062
2025-Aug-04 14:45:00.000,3860089
2025-Aug-04 15:00:00.000,3860116
2025-Aug-04 15:15:00.000,3860142
2025-Aug-04 15:30:00.000,3860165
2025-Aug-04 15:45:00.000,3860185
2025-Aug-04 16:00:00.000,3860206
2025-Aug-04 16:15:00.000,3860228
2025-Aug-04 16:30:00.000,3860250
2025-Aug-04 16:45:00.000,3860271
2025-Aug-04 17:00:00.000,3860291
2025-Aug-04 17:15:00.000,3860312
2025-Aug-04 17:30:00.000,3860333
2025-Aug-04 17:45:00.000,3860352
2025-Aug-04 18:00:00.000,3860371
2025-Aug-04 18:15:00.000,3860391
2025-Aug-04 18:30:00.000,3860411
2025-Aug-04 18:45:00.000,3860430
2025-Aug-04 19:00:00.000,3860448
2025-Aug-04 19:15:00.000,3860467
2025-Aug-04 19:30:00.000,3860485
2025-Aug-04 19:45:00.000,3860504
2025-Aug-04 20:00:00.000,3860521
2025-Aug-04 20:15:00.000,3860533
2025-Aug-04 20:30:00.000,3860550
2025-Aug-04 20:45:00.000,3860568
2025-Aug-04 21:00:00.000,3860586
2025-Aug-04 21:15:00.000,3860603
2025-Aug-04 21:30:00.000,3860621
2025-Aug-04 21:45:00.000,3860638
2025-Aug-04 22:00:00.000,3860656
2025-Aug-04 22:15:00.000,3860674
2025-Aug-04 22:30:00.000,3860693
2025-Aug-04 22:45:00.000,3860710
2025-Aug-04 23:00:00.000,3860729
2025-Aug-04 23:15:00.000,3860747
2025-Aug-04 23:30:00.000,3860766
2025-Aug-04 23:45:00.000,3860784
2025-Aug-05 00:00:00.000,3860802
2025-Aug-05 00:15:00.000,3860820
2025-Aug-05 00:30:00.000,3860838
2025-Aug-05 00:45:00.000,3860857
2025-Aug-05 01:00:00.000,3860876
2025-Aug-05 01:15:00.000,3860893
2025-Aug-05 01:30:00.000,3860912
2025-Aug-05 01:45:00.000,3860930
2025-Aug-05 02:00:00.000,3860949
2025-Aug-05 02:15:00.000,3860967
2025-Aug-05 02:30:00.000,3860985
2025-Aug-05 02:45:00.000,3861002
2025-Aug-05 03:00:00.000,3861020
2025-Aug-05 03:15:00.000,3861038
2025-Aug-05 03:30:00.000,3861055
2025-Aug-05 03:45:00.000,3861073
2025-Aug-05 04:00:00.000,3861090
2025-Aug-05 04:15:00.000,3861107
2025-Aug-05 04:30:00.000,3861124
2025-Aug-05 04:45:00.000,3861141
2025-Aug-05 05:00:00.000,3861158
2025-Aug-05 05:15:00.000,3861175
2025-Aug-05 05:30:00.000,3861192
2025-Aug-05 05:45:00.000,3861210
